time,event,bookmaker,selection,odds
2025-10-15 15:30:00,JoKP vs KeuPa HT,Ladbrokes,JoKP,1.35
2025-10-15 15:30:00,JoKP vs KeuPa HT,Ladbrokes,KeuPa HT,2.9
2025-10-15 15:30:00,Pyry vs RoKi,Ladbrokes,Pyry,2.3
2025-10-15 15:30:00,Pyry vs RoKi,Ladbrokes,RoKi,1.55
2025-10-15 16:45:00,Vålerenga vs VfL Wolfsburg,Ladbrokes,Draw,4.4
2025-10-15 16:45:00,Vålerenga vs VfL Wolfsburg,Ladbrokes,VfL Wolfsburg,1.44
2025-10-15 16:45:00,Vålerenga vs VfL Wolfsburg,Ladbrokes,Vålerenga,5.25
2025-10-15 17:00:00,AIK vs IF Troja-Ljungby,Ladbrokes,AIK,1.28
2025-10-15 17:00:00,AIK vs IF Troja-Ljungby,Ladbrokes,IF Troja-Ljungby,3.4
2025-10-15 17:00:00,IF Björklöven vs Almtuna IS,Ladbrokes,Almtuna IS,5.0
2025-10-15 17:00:00,IF Björklöven vs Almtuna IS,Ladbrokes,IF Björklöven,1.14
2025-10-15 17:00:00,Nybro Vikings IF vs BIK Karlskoga,Ladbrokes,BIK Karlskoga,1.61
2025-10-15 17:00:00,Nybro Vikings IF vs BIK Karlskoga,Ladbrokes,Nybro Vikings IF,2.2
2025-10-15 17:00:00,Östersunds IK vs IK Oskarshamn,Ladbrokes,IK Oskarshamn,1.4
2025-10-15 17:00:00,Östersunds IK vs IK Oskarshamn,Ladbrokes,Östersunds IK,2.7
